symbol,name,slug,coinGeckoId,scale,weiPerUnit,nativeAddress,nativeNetwork
USDC,USD Coin,ethereum-mainnet:usdc,usd-coin,6,1e6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum-mainnet
USDC.e,Bridged USD Coin,polygon-mainnet:usdc-e,usd-coin,6,1e6,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,polygon-mainnet
USDC,USD Coin,polygon-mainnet:usdc,usd-coin,6,1e6,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,polygon-mainnet
USDC.e,Bridged USD Coin,optimism-mainnet:usdc-e,usd-coin,6,1e6,0x7f5c764cbc14f9669b88837ca1490cca17c31607,optimism-mainnet
USDC,USD Coin,optimism-mainnet:usdc,usd-coin,6,1e6,0x0b2c639c533813f4aa9d7837caf62653d097ff85,optimism-mainnet
USDC.e,Bridged USD Coin,arbitrum-mainnet-one:usdc-e,usd-coin,6,1e6,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arbitrum-mainnet-one
USDC,USD Coin,arbitrum-mainnet-one:usdc,usd-coin,6,1e6,0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum-mainnet-one
USDC,USD Coin,base-mainnet:usdc,usd-coin,6,1e6,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,base-mainnet
mcUSDC,Multichain Bridged USD Coin,fantom-mainnet-opera:mcusdc,usd-coin,6,1e6,0x04068da6c83afcfa0e13ba15a6696662335d5b75,fantom-mainnet-opera
USDC.e,Bridged USD Coin,linea-mainner:usdc-e,usd-coin,6,1e6,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,linea-mainnet
USDC,USD Coin,avalanche-mainnet:usdc,usd-coin,6,1e6,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,avalanche-mainnet
USDC.e,USD Coin,avalanche-mainnet:usdc-e,usd-coin,6,1e6,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,avalanche-mainnet
USDC,USD Coin,kava-mainnet:usdc,usd-coin,6,1e6,0xfa9343c3897324496a05fc75abed6bac29f8a40f,kava-mainnet
USDC,USD Coin,canto-mainnet:usdc,usd-coin,6,1e6,0x80b5a32e4f032b2a058b4f29ec95eefeeb87adcd,ethereum-mainnet
USDC,USD Coin,moonbeam-mainnet:usdc,usd-coin,6,1e6,0x931715FEE2d06333043d11F658C8CE934aC61D0c,moonbeam-mainnet
USDC,USD Coin,moonriver-mainnet:usdc,usd-coin,6,1e6,0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d,moonriver-mainnet
USDC,USD Coin,gnosis-chain-mainnet:usdc,usd-coin,6,1e6,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,gnosis-chain-mainnet
USDC,USD Coin,zksync-era-mainnet:usdc,usd-coin,6,1e6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,zksync-era-mainnet
USDC,USD Coin,zkevm-mainnet:usdc,usd-coin,6,1e6,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,polygon-zkevm-mainnet
USDC,USD Coin,mantle-mainnet:usdc,usd-coin,6,1e6,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,linea-mainnet
USDC,USD Coin,scroll-mainnet:usdc,usd-coin,6,1e6,0x06eFdBFf2a14a7c8E15944D1F4A48F9F95F663A4,scroll-mainnet
USDT,Binance Pegged USD,bnb-chain-mainnet:usdc,usd-coin,18,1e18,0x55d398326f99059fF775485246999027B3197955,bnb-chain-mainnet
USDT,Tether USD,ethereum-mainnet:usdt,tether,6,1e6,0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum-mainnet
USDT,Tether USD,polygon-mainnet:usdt,tether,6,1e6,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,polygon-mainnet
USDT,Tether USD,optimism-mainnet:usdt,tether,6,1e6,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,optimism-mainnet
USDT,Tether USD,arbitrum-mainnet-one:usdt,tether,6,1e6,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arbitrum-mainnet-one
USDT,Tether USD,fantom-mainnet-opera:usdt,tether,6,1e6,0x049d68029688eabf473097a2fc38ef61633a3c7a,fantom-mainnet-opera
USDT,Tether USD,avalanche-mainnet:usdt,tether,6,1e6,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,avalanche-mainnet
USDT.e,Tether USD,avalanche-mainnet:usdt,tether,6,1e6,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,avalanche-mainnet
USDT,Tether USD,kava-mainnet:usdt,tether,6,1e6,0x765277eebeca2e31912c9946eae1021199b39c61,kava-mainnet
USDT,Tether USD,canto-mainnet:usdt,tether,6,1e6,0xd567b3d7b8fe3c79a1ad8da978812cfc4fa05e75,ethereum-mainnet
USDT,Tether USD,moonbeam-mainnet:usdt,tether,6,1e6,0x8e70cd5b4ff3f62659049e74b6649c6603a0e594,moonbeam-mainnet
USDT,Tether USD,moonriver-mainnet:usdt,tether,6,1e6,0xb44a9b6905af7c801311e8f4e76932ee959c663c,moonriver-mainnet
USDT,Tether USD,gnosis-chain-mainnet:usdt,tether,6,1e6,0x4ecaba5870353805a9f068101a40e0f32ed605c6,gnosis-chain-mainnet
USDT,Tether USD,zksync-era-mainnet:usdt,tether,6,1e6,0xdac17f958d2ee523a2206206994597c13d831ec7,zksync-era-mainnet
USDT,Tether USD,zkevm-mainnet:usdt,tether,6,1e6,0x1e4a5963abfd975d8c9021ce480b42188849d41d,polygon-zkevm-mainnet
USDT,Tether USD,mantle-mainnet:usdt,tether,6,1e6,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,mantle-mainnet
USDT,Tether USD,linea-mainnet:usdt,tether,6,1e6,0xf55BEC9cafDbE8730f096Aa55dad6D22d44099Df,linea-mainnet
BUSD,Binance USD,ethereum-mainnet:busd,binance-usd,18,1e18,0x4fabb145d64652a948d72533023f6e7a623c7c53,ethereum-mainnet
BUSD,Binance USD,polygon-mainnet:busd,binance-usd,18,1e18,0x9c9e5fd8bbc25984b178fdce6117defa39d2db39,polygon-mainnet
BUSD,Binance USD,optimism-mainnet:busd,binance-usd,18,1e18,0x9c9e5fd8bbc25984b178fdce6117defa39d2db39,optimism-mainnet
BUSD,Binance USD,bnb-chain-mainnet:busd,binance-usd,18,1e18,0xe9e7cea3dedca5984780bafc599bd69add087d56,bnb-chain-mainnet
BUSD,Binance USD,moonriver-mainnet:busd,binance-usd,18,1e18,0x5d9ab5522c64e1f6ef5e3627eccc093f56167818,moonriver-mainnet
BUSD,Binance USD,moonbeam-mainnet:busd,binance-usd,18,1e18,0xa649325aa7c5093d12d6f98eb4378deae68ce23f,moonbeam-mainnet
BUSD,Binance USD,avalanche-mainnet:busd,binance-usd,18,1e18,0x9c9e5fd8bbc25984b178fdce6117defa39d2db39,avalanche-mainnet
BUSD,Binance USD,zksync-era-mainnet:busd,binance-usd,18,1e18,0x2039bb4116b4efc145ec4f0e2ea75012d6c0f181,zksync-era-mainnet
BUSD,Binance USD,zkevm-mainnet:busd,binance-usd,18,1e18,0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,polygon-zkevm-mainnet
DAI,DAI,ethereum-mainnet:dai,dai,18,1e18,0x6b175474e89094c44da98b954eedeac495271d0f,ethereum-mainnet
DAI,DAI,polygon-mainnet:dai,dai,18,1e18,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,polygon-mainnet
DAI,DAI,optimism-mainnet:dai,dai,18,1e18,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,optimism-mainnet
DAI,DAI,arbitrum-mainnet-one:dai,dai,18,1e18,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,arbitrum-mainnet-one
DAI,DAI,fantom-mainnet-opera:dai,dai,18,1e18,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,fantom-mainnet-opera
DAI,DAI,bnb-chain-mainnet:dai,dai,18,1e18,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,bnb-chain-mainnet
DAI,DAI,avalanche-mainnet:dai,dai,18,1e18,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,avalanche-mainnet
DAI.e,Bridged DAI,avalanche-mainnet:dai-e,dai,18,1e18,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70,avalanche-mainnet
DAI,DAI,kava-mainnet:dai,dai,18,1e18,0x765277eebeca2e31912c9946eae1021199b39c61,kava-mainnet
DAI,DAI,moonbeam-mainnet:dai,dai,18,1e18,0x765277eebeca2e31912c9946eae1021199b39c61,moonbeam-mainnet
DAI,DAI,moonriver-mainnet:dai,dai,18,1e18,0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844,moonriver-mainnet
