name,slug,color1,color2,landing,app,docs,codebase,blog,twitter,discord,telegram,description
Omniscia,omniscia,#9A79EB,,https://omniscia.io,,,,https://medium.com/@omniscia.io,https://twitter.com/omniscia_sec,,https://t.me/omniscia_sec,Omniscia is a Blockchain security company that helps businesses assess and mitigate blockchain risks.
Hexens,hexens,#00F3A7,,https://hexens.io,,,,https://hexens.io/blog,https://twitter.com/hexensio,,,Hexens is a DeFi DAO that develops DeFi apps to make DeFi more accessible and user-friendly.
Quantstamp,quantstamp,#000000,,https://quantstamp.com,,,https://github.com/quantstamp,https://medium.com/quantstamp,https://twitter.com/Quantstamp,,,
Jane Street,jane-street,#000000,,https://www.janestreet.com,,,,https://blog.janestreet.com,https://twitter.com/janestreetgroup,,,Jane Street is a Quantitative trading firm that specializes in algorithmic trading.
Apollo Crypto,apollo-crypto,#23a8e0,,https://apollocrypto.com,,,,https://apollocrypto.com/insights,https://twitter.com/ApolloCryptoAu,,,Apollo Crypto is a VC firm that invests in early-stage blockchain companies.
0xVentures,0xventures,#fbb583,,https://0xventures.org,,,,https://medium.com/@0xventures,https://twitter.com/0xVenturesCap,,,0xVentures is a VC firm that invests in early-stage DeFi companies.
Upside DAO,upside-dao,#ff8a00,,https://www.upsidedao.com.au,,,,,https://twitter.com/0xUpside,,,Upside DAO is a DeFi DAO that provides financial services to the unbanked and underbanked.
MetaMask,metamask,#e4751f,,https://metamask.io,,https://docs.metamask.io/wallet,https://github.com/MetaMask,https://medium.com/metamask,https://twitter.com/MetaMask,https://discord.gg/consensys,,MetaMask is the most popular non-custodial wallet that can be used as a browser extension or a mobile app. It supports a wide variety of tokens and allows users to interact with decentralized applications (dApps).
CoinbaseWallet,coinbasewallet,#2b6fff,,https://www.coinbase.com/wallet,,https://docs.cloud.coinbase.com/wallet-sdk/docs/welcome,https://github.com/CoinbaseWallet,https://www.coinbase.com/blog,https://twitter.com/CoinbaseWallet,,,"CoinbaseWallet is a popular  non-custodial wallet that is offered by the cryptocurrency exchange Coinbase. It supports a variety of cryptocurrencies and allows users to send and receive funds, as well as buy and sell cryptocurrencies. It is a drop-in alternative for popular MetaMask."
WalletConnect,walletconnect,#3e79f6,,https://walletconnect.com,,https://docs.walletconnect.com/2.0,https://github.com/WalletConnect,https://walletconnect.mirror.xyz,https://twitter.com/walletconnect,https://discord.gg/kdTQHQ6AFQ,,"WalletConnect is a protocol that allows users to connect their crypto wallets to dApps. It is supported by many popular wallets, including MetaMask, CoinbaseWallet, and Trust."
Rainbow,rainbow,#f6bb39,,https://rainbow.me,,https://learn.rainbow.me,https://www.rainbowkit.com/docs,,https://twitter.com/rainbowdotme,,,Rainbow is a popular mobile-first non-custodial wallet that supports a variety of cryptocurrencies. It is known for its user-friendly interface and its security features.
