slug,id,lzId,lzEndpoint,gasToken,coinGeckoId,coinMarketCapId,defiLlamaId,defiSafetyId
ethereum-mainnet,1,1,0x66A71Dcef29A0fFBDBE3c6a460a3B5BC225Cd675,ethereum-mainnet:eth,ethereum,,Ethereum,Ethereum
ethereum-testnet-goerli,5,10121,0xbfD2135BFfbb0B5378b56643c2Df8a87552Bfa23,ethereum-testnet:eth,,,,
optimism-mainnet,10,111,0x3c2269811836af69497E5F486A85D7316753cf62,optimism-mainnet:weth,optimistic-ethereum,,Optimism,Optimism
optimism-testnet-goerli,420,10132,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,optimism-testnet:weth,,,,
arbitrum-mainnet-one,42161,110,0x3c2269811836af69497E5F486A85D7316753cf62,arbitrum-mainnet-one:weth,arbitrum-one,,Arbitrum,Arbitrum
arbitrum-testnet-goerli,421613,10143,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,arbitrum-testnet-one:weth,,,,
polygon-mainnet,137,109,0x3c2269811836af69497E5F486A85D7316753cf62,polygon-mainnet:matic,polygon-pos,,Polygon,Polygon
polygon-testnet-mumbai,80001,10109,0xf69186dfBa60DdB133E91E9A4B5673624293d8F8,polygon-testnet:matic,,,,
avalanche-mainnet,43114,106,0x3c2269811836af69497E5F486A85D7316753cf62,avalanche-mainnet:avax,avalanche,,Avalanche,Avalanche
avalanche-testnet-fuji,43113,10106,0x93f54D755A063cE7bB9e6Ac47Eccc8e33411d706,avalanche-testnet:avax,,,,
fantom-mainnet-opera,250,112,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,fantom-mainnet-opera:ftm,fantom,,Fantom,Fantom
fantom-testnet,4002,10112,0x7dcAD72640F835B0FA36EFD3D6d3ec902C7E5acf,fantom-testnet-opera:ftm,,,,
bnb-chain-mainnet,56,102,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,bnb-chain-mainnet:wbnb,binance-smart-chain,,BSC,BnB Chain
bnb-chain-testnet,97,10102,0x6Fcb97553D41516Cb228ac03FdC8B9a0a9df04A1,bnb-chain-testnet:wbnb,,,,
opbnb-mainnet,204,202,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,opbnb-chain-mainnet:bnb,opbnb,,opBNB,opBNB
opbnb-testnet,5611,10202,0x83c73Da98cf733B03315aFa8758834b36a195b87,opbnb-chain-testnet:bnb,,,,
horizen-mainnet-eon,7332,215,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,horizen-mainnet:zen,horizen,,horizen,Horizen
horizen-testnet,1663,10215,0x83c73Da98cf733B03315aFa8758834b36a195b87,horizen-testnet:zen,,,,
moonbeam-mainnet,1284,126,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,moonbeam-mainnet:glmr,moonbeam,,Moonbeam,Moonbeam
moonriver-mainnet,1285,167,0x7004396C99D5690da76A7C59057C5f3A53e01704,moonriver-mainnet:wmovr,moonriver,,Moonriver,Moonriver
moonbase-testnet,1287,10126,0xb23b28012ee92E8dE39DEb57Af31722223034747,moonbeam-testnet:glmr,,,,
gnosis-chain-mainnet,100,145,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,gnosis-chain-mainnet:wxdai,xdai,,xDai,Gnosis Chain
gnosis-chain-testnet,10200,10145,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,gnosis-chain-testnet:wxdai,,,,
polygon-zkevm-mainnet,1101,158,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,polygon-zkevm-mainnet:weth,polygon-zkevm,,Polygon zkEVM,Polygon ZkEVM
polygon-zkevm-testnet,1442,10158,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,polygon-zkevm-testnet:weth,,,,
zksync-era-mainnet,324,165,0x9b896c0e23220469C7AE69cb4BbAE391eAa4C8da,zksync-mainnet:weth,zksync,,zkSync Era,zkSync Era
zksync-era-testnet,280,10165,0x093D2CF57f764f09C3c2Ac58a42A2601B8C79281,zksync-testnet:weth,,,,
base-mainnet,8453,184,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,base-mainnet:weth,base,,Base,Base
base-testnet,84531,10160,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,base-testnet:weth,,,,
kava-mainnet,2222,177,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,kava-mainnet:wkava,kava,,Kava,Kava
kava-testnet,2221,10172,0x8b14D287B4150Ff22Ac73DF8BE720e933f659abc,kava-testnet:wkava,,,,
canto-mainnet,7700,159,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,canto-mainnet:wcanto,canto,,Canto,Canto
canto-testnet,7701,10159,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,canto-testnet:wcanto,,,,
scroll-mainnet,534352,214,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,scroll-mainnet:eth,scroll,,Scroll,Scroll
scroll-testnet,534351,10214,0x6098e96a28E02f27B1e6BD381f870F1C8Bd169d3,scroll-testnet:eth,,,,
berachain-mainnet,-1,,,berachain-mainnet:eth,berachain,,Berachain,Berachain
berachain-testnet,-2,,,berachain-testnet:eth,,,,
metis-mainnet,1088,151,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,metis-mainnet:metis,metis-andromeda,,Metis,Metis
metis-testnet,588,10151,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,metis-testnet:metis,,,,
mantle-mainnet,5000,181,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,mantle-mainnet:mnt,mantle,,Mantle,Mantle
mantle-testnet,5001,10181,0x2cA20802fd1Fd9649bA8Aa7E50F0C82b479f35fe,mantle-testnet:mnt,,,,
linea-mainnet,59144,183,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,linea-mainnet:eth,linea,,Linea,Linea
linea-testnet,59140,10157,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,linea-testnet:eth,,,,
celo-mainnet,42220,125,0x3A73033C0b1407574C76BdBAc67f126f6b4a9AA9,celo-mainnet:celo,celo,,Celo,Celo
celo-testnet,44787,10125,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,celo-testnet:celo,,,,
aurora-mainnet,1313161554,211,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,aurora-mainnet:eth,aurora,,Aurora,Aurora
aurora-testnet,1313161555,10201,0x83c73Da98cf733B03315aFa8758834b36a195b87,aurora-testnet:eth,,,,
neon-evm-mainnet,245022934,,,neon-mainnet:neon,neon-evm,,Neon,Neon
neon-evm-testnet,245022940,,,neon-testnet:neon,,,,
syscoin-mainnet,57,,,syscoin-mainnet:sys,syscoin,,Syscoin,Syscoin
syscoin-testnet,5700,,,syscoin-testnet:sys,,,,
rollux-mainnet,570,,,rollux-mainnet:sys,rollux,,Rollux,Rollux
rollux-testnet,57000,,,rollux-testnet:sys,,,,
rootstock-mainnet,30,,,rootstock-mainnet:btc,rootstock,,Rootstock,Rootstock
rootstock-testnet,31,,,rootstock-testnet:btc,,,,
manta-pacific-mainnet,169,217,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,manta-pacific-mainnet:eth,manta-pacific,,Manta,Manta
manta-pacific-testnet,3441005,10221,0x55370E0fBB5f5b8dAeD978BA1c075a499eB107B8,manta-pacific-testnet:eth,,,,
arbitrum-local,0,0,0x66A71Dcef29A0fFBDBE3c6a460a3B5BC225Cd675,localhost:usdc,,,,
