name,slug,landing,id,lzId,lzEndpoint,create3Deployer,defiLlamaId,httpRpcs,wsRpcs,explorers,explorerApi
Ethereum,ethereum-mainnet,https://ethereum.org/en,1,1,0x66A71Dcef29A0fFBDBE3c6a460a3B5BC225Cd675,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Ethereum,"[""https://api.securerpc.com/v1"", ""https://rpc.mevblocker.io"", ""https://rpc.flashbots.net"", ""https://rpc.ankr.com/eth"", ""https://eth-mainnet.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/eth/mainnet/public"", ""https://ethereum.blockpi.network/v1/rpc/public"", ""https://main-rpc.linkpool.io""]","[""wss://eth-mainnet.public.blastapi.io""]","[""https://etherscan.io""]",https://api.etherscan.io/api
Ethereum Testnet,ethereum-testnet-goerli,https://ethereum.org/en,5,10121,0xbfD2135BFfbb0B5378b56643c2Df8a87552Bfa23,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://eth-goerli.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/eth/goerli/public"", ""https://rpc.ankr.com/eth_goerli"", ""https://goerli.blockpi.network/v1/rpc/public""]","[""wss://eth-goerli.public.blastapi.io""]","[""https://goerli.etherscan.io""]",https://api-goerli.etherscan.io/api
Optimism,optimism-mainnet,https://www.optimism.io,10,111,0x3c2269811836af69497E5F486A85D7316753cf62,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Optimism,"[""https://optimism-mainnet.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/op/mainnet/public"", ""https://mainnet.optimism.io"", ""https://rpc.ankr.com/optimism"", ""https://optimism.blockpi.network/v1/rpc/public""]","[""wss://optimism-mainnet.public.blastapi.io"", ""wss://ws-mainnet.optimism.io""]","[""https://optimistic.etherscan.io""]",https://api-optimistic.etherscan.io/api
Optimism Testnet,optimism-testnet-goerli,https://www.optimism.io,420,10132,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://optimism-goerli.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/op/goerli/public"", ""https://goerli.optimism.io"", ""https://rpc.ankr.com/optimism_testnet""]","[""wss://optimism-goerli.public.blastapi.io"", ""wss://ws-goerli.optimism.io""]","[""https://goerli-optimistic.etherscan.io""]",https://api-goerli-optimistic.etherscan.io/api
Arbitrum,arbitrum-mainnet-one,https://arbitrum.io,42161,110,0x3c2269811836af69497E5F486A85D7316753cf62,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Arbitrum,"[""https://arbitrum-one.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/arbitrum/one/public"", ""https://arb1.arbitrum.io/rpc"", ""https://rpc.ankr.com/arbitrum"", ""https://arbitrum.blockpi.network/v1/rpc/public""]","[""wss://arbitrum-one.public.blastapi.io"", ""wss://arb1.arbitrum.io/ws""]","[""https://arbiscan.io""]",https://api.arbiscan.io/api
Arbitrum Testnet,arbitrum-testnet-goerli,https://arbitrum.io,421613,10143,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://arbitrum-goerli.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/arbitrum/goerli/public"", ""https://goerli-rollup.arbitrum.io/rpc""]","[""wss://arbitrum-goerli.public.blastapi.io"", ""wss://goerli.arbitrum.io/ws""]","[""https://goerli.arbiscan.io""]",https://api-goerli.arbiscan.io/api
Polygon,polygon-mainnet,https://polygon.technology,137,109,0x3c2269811836af69497E5F486A85D7316753cf62,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Polygon,"[""https://polygon-mainnet.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/matic/mainnet/public"", ""https://polygon-rpc.com"", ""https://rpc.ankr.com/polygon"", ""https://polygon.blockpi.network/v1/rpc/public""]","[""wss://polygon-mainnet.public.blastapi.io"", ""wss://rpc-mainnet.matic.network""]","[""https://polygonscan.com""]",https://api.polygonscan.com/api
Polygon Testnet,polygon-testnet-mumbai,https://polygon.technology,80001,10109,0xf69186dfBa60DdB133E91E9A4B5673624293d8F8,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://polygon-testnet.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/matic/mumbai/public"", ""https://rpc.ankr.com/polygon_mumbai"", ""https://polygon-mumbai.blockpi.network/v1/rpc/public""]","[""wss://polygon-testnet.public.blastapi.io"", ""wss://rpc-mumbai.matic.today""]","[""https://mumbai.polygonscan.com""]",https://api-testnet.polygonscan.com/api
Avalanche,avalanche-mainnet,https://www.avax.network,43114,106,0x3c2269811836af69497E5F486A85D7316753cf62,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Avalanche,"[""https://ava-mainnet.public.blastapi.io/ext/bc/C/rpc"", ""https://endpoints.omniatech.io/v1/avax/mainnet/public"", ""https://rpc.ankr.com/avalanche"", ""https://avalanche.blockpi.network/v1/rpc/public""]","[""wss://ava-mainnet.public.blastapi.io/ext/bc/C/ws""]","[""https://snowtrace.io""]",https://api.snowtrace.io/api
Avalanche Testnet,avalanche-testnet-fuji,https://www.avax.network,43113,10106,0x93f54D755A063cE7bB9e6Ac47Eccc8e33411d706,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://ava-testnet.public.blastapi.io/ext/bc/C/rpc"", ""https://endpoints.omniatech.io/v1/avax/fuji/public"", ""https://rpc.ankr.com/avalanche_fuji""]",[],"[""https://testnet.snowtrace.io"", ""wss://ava-testnet.public.blastapi.io/ext/bc/C/ws""]",https://api-testnet.snowtrace.io/api
