name,slug,symbol,denomination,scale,nativeAddress,nativeNetwork,exposureNetworks,aggregationLevel,rewardTokens,protocols,types,fees.entry,fees.exit,fees.perf,fees.mgmt,fees.flash,scoring.safety,scoring.profitability,scoring.liquidity,scoring.scalability,limits.minDeposit,limits.minWithdrawal,limits.maxDeposit,limits.maxWithdrawal
Stargate MetaStable,ethereum-mainnet:stargate-metastable,as.SMS,ethereum-mainnet:usdc,8,0x0000000000000000000000000000000000000000,ethereum-mainnet,ethereum-mainnet,0,ethereum-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,polygon-mainnet:stargate-metastable,as.SMS,polygon-mainnet:usdc,8,0x827c2f7ebacc385066d147015563a2fa6cda7e28,polygon-mainnet,polygon-mainnet,0,polygon-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,arbitrum-mainnet-one:stargate-metastable,as.SMS,arbitrum-mainnet-one:usdc,8,0x0000000000000000000000000000000000000000,arbitrum-mainnet-one,arbitrum-mainnet-one,0,arbitrum-mainnet-one:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,optimism-mainnet:stargate-metastable,as.SMS,optimism-mainnet:usdc,8,0x0000000000000000000000000000000000000000,optimism-mainnet,optimism-mainnet,0,optimism-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,base-mainnet:stargate-metastable,as.SMS,base-mainnet:usdc,8,0x0000000000000000000000000000000000000000,base-mainnet,base-mainnet,0,base-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,bnb-chain-mainnet:stargate-metastable,as.SMS,bnb-chain-mainnet:usdc,8,0x0000000000000000000000000000000000000000,bnb-chain-mainnet,bnb-chain-mainnet,0,bnb-chain-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,avalanche-mainnet:stargate-metastable,as.SMS,avalanche-mainnet:usdc,8,0x0000000000000000000000000000000000000000,avalanche-mainnet,avalanche-mainnet,0,avalanche-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,kava-mainnet:stargate-metastable,as.SMS,kava-mainnet:usdc,8,0x0000000000000000000000000000000000000000,kava-mainnet,kava-mainnet,0,kava-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Stargate MetaStable,mantle-mainnet:stargate-metastable,as.SMS,mantle-mainnet:usdc,8,0x0000000000000000000000000000000000000000,mantle-mainnet,mantle-mainnet,0,mantle-mainnet:stg,stargate-finance,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Hop MetaStable,polygon-mainnet:hop-metastable,as.HOMS,polygon-mainnet:usdc,8,0x9C14F9137Fc7327F336cC73D4218d310F3Faba11,polygon-mainnet,polygon-mainnet,0,polygon-mainnet:hop,hop-exchange,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Hop MetaStable,arbitrum-mainnet-one:hop-metastable,as.HOMS,arbitrum-mainnet-one:usdc,8,0x0000000000000000000000000000000000000000,arbitrum-mainnet-one,arbitrum-mainnet-one,0,arbitrum-mainnet-one:hop,hop-exchange,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Hop MetaStable,optimism-mainnet:hop-metastable,as.HOMS,optimism-mainnet:usdc,8,0x0000000000000000000000000000000000000000,optimism-mainnet,optimism-mainnet,0,optimism-mainnet:hop,hop-exchange,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Hop MetaStable,base-mainnet:hop-metastable,as.HOMS,base-mainnet:usdc,8,0x0000000000000000000000000000000000000000,base-mainnet,base-mainnet,0,base-mainnet:hop,hop-exchange,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Hop MetaStable,gnosis-chain-mainnet:hop-metastable,as.HOMS,gnosis-chain-mainnet:usdc,8,0x1c46486727fc8419b4cbdac7862d38d9e2a510a3,gnosis-chain-mainnet,gnosis-chain-mainnet,0,gnosis-chain-mainnet:hop,hop-exchange,automated_market_making,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,ethereum-mainnet:aave-v3-metastable,as.AMS,ethereum-mainnet:usdc,8,0x0000000000000000000000000000000000000000,ethereum-mainnet,ethereum-mainnet,0,ethereum-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,polygon-mainnet:aave-v3-metastable,as.AMS,polygon-mainnet:usdc,8,0x11c8f790d252f4a49cfbff5766310873898bf5d3,polygon-mainnet,polygon-mainnet,0,polygon-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,arbitrum-mainnet-one:aave-v3-metastable,as.AMS,arbitrum-mainnet-one:usdc,8,0x0000000000000000000000000000000000000000,arbitrum-mainnet-one,arbitrum-mainnet-one,0,arbitrum-mainnet-one:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,optimism-mainnet:aave-v3-metastable,as.AMS,optimism-mainnet:usdc,8,0x0000000000000000000000000000000000000000,optimism-mainnet,optimism-mainnet,0,optimism-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,base-mainnet:aave-v3-metastable,as.AMS,base-mainnet:usdc,8,0x2aeB4A62f40257bfC96D5be55519f70DB871c744,base-mainnet,base-mainnet,0,base-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,avalanche-mainnet:aave-v3-metastable,as.AMS,avalanche-mainnet:usdc,8,0x0000000000000000000000000000000000000000,avalanche-mainnet,avalanche-mainnet,0,avalanche-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
AAVE v3 MetaStable,gnosis-chain-mainnet:aave-v3-metastable,as.AMS,gnosis-chain-mainnet:usdc,8,0xb72f246bb229f67ecbbb1c4bd1b61f6faa0ac40b,gnosis-chain-mainnet,gnosis-chain-mainnet,0,gnosis-chain-mainnet:aave,aave,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Compound v3 MetaStable,ethereum-mainnet:compound-v3-metastable,as.CMS,ethereum-mainnet:usdc,8,0x0000000000000000000000000000000000000000,ethereum-mainnet,ethereum-mainnet,0,ethereum-mainnet:comp,compound,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
Compound v3 MetaStable,polygon-mainnet:compound-v3-metastable,as.CMS,polygon-mainnet:usdc,8,0x0000000000000000000000000000000000000000,polygon-mainnet,polygon-mainnet,0,polygon-mainnet:comp,compound,lending,0.001,0.001,0.05,0,0.0002,8,6,8,8,0.1,0.1,50000000,50000000
